Antal	Temperatur
60	13,20
83	14,20
87	14,50
80	13,70
99	14,30
129	13,70
137	12,70
81	12,00
57	11,50
45	10,50
33	9,10
18	8,10
14	7,20
6	6,50
5	6,00
4	5,70
2	5,90
0	6,10
1	7,90
0	8,00
0	8,10
30	8,70
56	10,30
52	10,40
61	9,70
107	10,10
80	12,80
49	11,70
75	8,00
100	8,10
75	7,60
34	7,30
31	7,20
21	6,90
28	6,80
9	6,50
10	6,40
7	6,30
4	6,30
5	5,90
1	5,70
6	4,60
11	5,70
9	7,10
17	8,70
41	9,10
46	10,30
62	11,10
68	12,40
70	12,80
56	13,30
55	13,30
53	12,90
46	12,10
49	8,40
25	8,80
24	8,70
18	8,00
12	7,50
17	6,80
10	6,30
9	6,10
5	5,90
4	5,70
2	5,70
16	6,20
15	7,80
10	9,60
13	11,10
17	12,10
28	12,60
27	13,30
48	14,00
42	14,10
70	14,20
50	13,40
59	13,40
48	12,30
34	11,40
18	10,00
27	9,30
12	8,20
9	7,30
4	6,60
1	6,00
0	5,40
2	5,60
4	6,40
2	6,80
9	7,10
59	7,00
116	8,70
69	10,70
53	11,80
66	11,50
78	13,20
80	13,70
0	13,70
78	14,80
105	14,90
136	14,70
126	13,10
72	12,70
60	10,00
33	9,50
25	8,50
16	8,70
2	8,40
1	8,20
0	7,40
0	6,40
0	5,60
2	5,40
9	6,50
53	8,60
87	9,40
63	10,00
38	10,00
40	10,90
57	11,70
50	11,40
57	13,10
50	14,10
74	14,00
104	11,90
89	13,00
67	12,30
41	11,70
0	10,70
0	9,50
22	8,40
18	7,60
11	6,90
3	6,30
1	6,00
0	5,50
1	5,30
3	6,10
9	7,60
7	9,00
10	10,20
20	11,00
26	11,00
43	11,10
48	13,40
44	14,00
52	14,50
78	14,40
82	13,70
43	14,40
56	12,20
44	12,30
23	11,60
25	9,70
11	8,50
4	8,50
0	8,30
2	7,30
0	7,10
3	7,10
2	7,20
11	7,40
37	8,70
67	9,40
102	9,80
37	10,60
44	11,50
84	11,90
66	12,10
74	13,40
54	13,10
100	12,50
104	12,60
93	12,80
76	12,30
188	12,00
132	11,70
40	11,40
11	11,10
6	10,10
4	8,80
0	7,70
1	7,10
0	6,60
2	6,40
5	7,40
44	8,90
65	11,90
51	14,00
28	15,40
52	16,60
70	17,60
81	18,00
57	17,80
60	17,40
69	16,30
43	15,20
48	14,20
33	11,30
20	11,30
6	11,10
14	11,10
18	11,20
9	11,10
5	11,40
0	11,40
0	11,10
2	10,20
1	9,70
3	10,10
6	9,80
10	10,50
18	11,30
25	11,80
43	13,10
84	15,20
92	17,00
85	18,10
69	19,10
51	18,90
36	16,90
44	16,70
54	16,30
42	13,70
20	12,80
0	12,10
30	11,20
24	9,90
23	10,40
13	10,70
17	10,70
2	10,40
3	10,40
4	10,80
11	11,70
3	13,10
12	14,30
15	14,40
28	16,00
44	14,60
50	17,10
47	15,30
46	17,00
49	16,40
48	14,70
43	14,80
25	14,20
16	13,80
17	13,10
6	12,50
5	11,70
6	11,60
0	11,60
0	11,30
0	11,20
3	11,00
2	10,50
7	10,60
57	11,90
108	12,70
70	13,40
46	13,60
51	12,90
52	14,60
46	15,20
54	14,10
68	15,50
74	14,90
111	15,70
122	13,90
81	14,90
52	13,80
45	13,30
30	12,90
20	11,60
6	10,40
4	9,50
1	8,90
3	8,40
0	8,20
4	8,10
8	8,70
80	9,10
101	11,60
66	13,00
59	14,10
30	15,40
6	16,50
84	17,30
69	17,60
90	18,20
92	18,10
136	16,60
121	16,90
95	14,50
0	14,90
47	14,10
49	13,10
17	11,40
11	10,10
2	9,20
0	8,60
1	8,10
3	7,70
2	7,50
10	9,10
64	10,70
88	13,20
77	15,30
52	15,90
73	17,10
101	18,30
87	19,00
94	19,70
61	20,00
103	19,50
0	20,00
0	16,60
0	14,40
53	14,40
51	13,20
29	13,20
17	10,90
3	8,60
6	8,60
2	7,70
4	7,60
1	7,60
11	8,50
53	10,10
91	11,30
82	11,30
55	13,50
50	13,10
68	13,10
90	14,50
85	15,80
74	16,80
111	16,70
134	16,20
139	15,50
70	14,10
76	13,10
33	12,10
34	10,80
19	9,70
15	8,80
5	8,00
0	7,30
2	7,30
5	8,50
2	8,50
7	9,00
64	9,80
104	11,10
67	12,20
49	12,90
